Region,Business,Name,Status,RiskCategory,RiskSubCategory,DiscoveryDate,OccurrenceStartDate,NetLoss,RecoveryAmount,EstimatedGrossLoss
Asia Pac,Retail Banking,z-LE-151,Rejected,External Fraud,Theft and Fraud,2012-02-23,2012-02-25,149806,47938,147800
North America,Retail Banking,z-LE-152,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2012-02-25,2012-02-28,272548,95392,275800
EMEA,Retail Banking,z-LE-153,Under Review,External Fraud,Theft and Fraud,2012-03-01,2012-03-02,10227,3989,22500
North America,Retail Banking,z-LE-154,Rejected,External Fraud,Systems Security,2012-03-01,2012-03-04,92488,23122,90100
EMEA,Trading and Sales,z-LE-155,In Progress,External Fraud,Theft and Fraud,2012-03-02,2012-03-05,660811,132162,664100
North America,Retail Banking,z-LE-156,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-03-04,2012-03-07,244758,66085,247100
North America,Trading and Sales,z-LE-157,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2012-03-11,2012-03-12,852074,315267,847500
EMEA,Retail Banking,z-LE-305,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-03-14,2012-03-17,257581,85002,264300
Asia Pac,Retail Banking,z-LE-158,Rejected,External Fraud,Theft and Fraud,2012-03-15,2012-03-16,107669,24764,110900
North America,Trading and Sales,z-LE-159,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-03-16,2012-03-19,516567,185964,517400
EMEA,Retail Banking,z-LE-160,Under Review,Employment Practices and Workplace Safety,Safe Environment,2012-03-27,2012-03-30,83701,30132,96000
EMEA,Retail Banking,z-LE-161,Approved,External Fraud,Theft and Fraud,2012-03-29,2012-03-31,117638,24704,117200
North America,Retail Banking,z-LE-34,Approved,External Fraud,Theft and Fraud,2012-03-29,2012-04-01,241997,77439,256000
North America,Retail Banking,z-LE-162,Not Started,External Fraud,Systems Security,2012-03-30,2012-03-31,131914,50127,133700
Asia Pac,Retail Banking,z-LE-163,Rejected,External Fraud,Theft and Fraud,2012-04-03,2012-04-06,214454,75059,226500
EMEA,Retail Banking,z-LE-164,In Progress,External Fraud,Theft and Fraud,2012-04-06,2012-04-07,205985,57676,216000
Asia Pac,Retail Banking,z-LE-165,Rejected,External Fraud,Theft and Fraud,2012-04-07,2012-04-08,65971,17812,65300
North America,Retail Banking,LE-06-004,Not Started,External Fraud,Systems Security,2012-04-07,2012-04-07,500000,150000,500000
Asia Pac,Commercial Banking,z-LE-166,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-04-10,2012-04-13,774024,239947,776500
EMEA,Trading and Sales,z-LE-167,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-04-15,2012-04-18,63088,22712,66500
North America,Retail Banking,z-LE-168,In Progress,External Fraud,Systems Security,2012-04-18,2012-04-19,250721,50144,251200
North America,Retail Banking,z-LE-170,Approved,External Fraud,Theft and Fraud,2012-04-22,2012-04-24,195199,60512,200300
North America,Retail Banking,z-LE-169,Under Review,External Fraud,Theft and Fraud,2012-04-23,2012-04-24,172234,53393,177900
North America,Retail Banking,z-LE-171,Not Started,Internal Fraud,Theft and Fraud,2012-04-23,2012-04-26,265437,95557,272800
EMEA,Retail Banking,z-LE-172,Not Started,External Fraud,Theft and Fraud,2012-04-24,2012-04-27,230535,46107,247800
EMEA,Retail Banking,z-LE-173,Under Review,Internal Fraud,Unauthorized Activity,2012-04-26,2012-04-28,260999,80910,266700
North America,Commercial Banking,z-LE-175,Under Review,Business Disruption and System Failures,Infrastructure and Systems,2012-04-28,2012-05-01,778830,295955,783300
North America,Retail Banking,z-LE-174,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2012-04-29,2012-04-30,160869,43435,167600
North America,Retail Banking,z-LE-176,Rejected,Employment Practices and Workplace Safety,Diversity and Discrimination,2012-05-02,2012-05-03,126964,27932,122300
North America,Commercial Banking,z-LE-177,In Progress,"Clients, Products and Business Practices",Product Flaws,2012-05-03,2012-05-04,403289,104855,418500
North America,Trading and Sales,z-LE-178,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-05-04,2012-05-07,54840,21936,61400
North America,Retail Banking,z-LE-179,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2012-05-04,2012-05-07,131660,23699,130900
North America,Retail Banking,z-LE-180,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2012-05-08,2012-05-09,36381,12370,35900
EMEA,Retail Banking,z-LE-181,In Progress,"Execution, Delivery and Process Management",Transaction/Data Management,2012-05-13,2012-05-15,8970,3498,14900
North America,Trading and Sales,z-LE-182,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-05-16,2012-05-19,1052505,410477,1056300
EMEA,Retail Banking,z-LE-183,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2012-05-18,2012-05-21,241140,62696,252400
Asia Pac,Trading and Sales,z-LE-185,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-05-22,2012-05-24,579906,121780,579700
EMEA,Corporate Finance,z-LE-184,Not Started,External Fraud,Systems Security,2012-05-22,2012-05-23,1422118,412414,1429200
Asia Pac,Retail Banking,z-LE-186,Rejected,External Fraud,Theft and Fraud,2012-05-30,2012-05-31,83955,20149,98400
EMEA,Retail Banking,z-LE-187,Under Review,External Fraud,Theft and Fraud,2012-06-02,2012-06-05,246517,61629,261900
North America,Trading and Sales,z-LE-188,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2012-06-08,2012-06-11,234292,84345,232500
North America,Trading and Sales,z-LE-189,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-06-09,2012-06-12,762898,228870,768900
North America,Retail Brokerage,z-LE-190,In Progress,"Clients, Products and Business Practices",Advisory Activities,2012-06-11,2012-06-12,57620,22472,58300
Asia Pac,Retail Banking,z-LE-191,Rejected,External Fraud,Theft and Fraud,2012-06-12,2012-06-15,126066,34038,135900
Asia Pac,Retail Banking,z-LE-193,Not Started,External Fraud,Theft and Fraud,2012-06-21,2012-06-24,199243,61765,210800
North America,Retail Banking,z-LE-192,Approved,External Fraud,Systems Security,2012-06-21,2012-06-22,199519,55865,195900
EMEA,Commercial Banking,z-LE-194,Not Started,External Fraud,Theft and Fraud,2012-06-29,2012-07-02,161731,46902,158000
EMEA,Retail Banking,z-LE-195,Under Review,External Fraud,Theft and Fraud,2012-06-30,2012-07-03,164328,46012,167200
Asia Pac,Agency Services,z-LE-196,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-07-02,2012-07-04,278412,89092,284700
North America,Agency Services,z-LE-197,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-07-02,2012-07-05,744336,282848,747700
North America,Retail Banking,z-LE-198,Rejected,External Fraud,Systems Security,2012-07-05,2012-07-08,103239,39231,114500
EMEA,Trading and Sales,z-LE-199,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2012-07-08,2012-07-09,312526,78132,318100
North America,Trading and Sales,z-LE-200,Under Review,Employment Practices and Workplace Safety,Employee Relations,2012-07-09,2012-07-12,262264,60321,269800
EMEA,Retail Banking,z-LE-201,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-07-10,2012-07-13,243840,82906,246200
EMEA,Retail Brokerage,z-LE-202,Not Started,"Clients, Products and Business Practices",Product Flaws,2012-07-11,2012-07-14,435475,161126,434800
North America,Retail Banking,z-LE-203,In Progress,External Fraud,Theft and Fraud,2012-07-11,2012-07-14,206537,82615,206300
Asia Pac,Retail Banking,z-LE-204,Under Review,Internal Fraud,Theft and Fraud,2012-07-16,2012-07-17,40798,13463,55500
North America,Retail Banking,z-LE-205,Approved,Employment Practices and Workplace Safety,Safe Environment,2012-07-20,2012-07-22,166850,33370,176500
North America,Trading and Sales,z-LE-206,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2012-07-20,2012-07-23,750531,247675,756700
North America,Commercial Banking,z-LE-207,Not Started,External Fraud,Theft and Fraud,2012-07-24,2012-07-27,728552,233137,732800
EMEA,Retail Banking,z-LE-353,In Progress,Employment Practices and Workplace Safety,Safe Environment,2012-07-27,2012-07-28,200040,42008,202900
North America,Retail Banking,z-LE-208,In Progress,External Fraud,Theft and Fraud,2012-07-27,2012-07-28,236272,94509,236600
North America,Retail Banking,z-LE-209,Under Review,Internal Fraud,Theft and Fraud,2012-07-30,2012-08-01,34356,9620,33000
North America,Retail Banking,z-LE-210,Approved,Internal Fraud,Unauthorized Activity,2012-08-04,2012-08-07,144963,53636,150800
EMEA,Commercial Banking,z-LE-211,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2012-08-09,2012-08-12,661563,251394,659000
Asia Pac,Commercial Banking,z-LE-213,Under Review,External Fraud,Theft and Fraud,2012-08-10,2012-08-13,709259,262426,721700
Asia Pac,Retail Banking,z-LE-212,Rejected,External Fraud,Systems Security,2012-08-12,2012-08-13,82746,26479,80100
Asia Pac,Retail Banking,z-LE-214,Approved,External Fraud,Theft and Fraud,2012-08-15,2012-08-16,28084,7864,39300
Asia Pac,Retail Banking,z-LE-216,Rejected,External Fraud,Theft and Fraud,2012-08-16,2012-08-19,18548,5750,25600
North America,Commercial Banking,z-LE-215,Not Started,"Clients, Products and Business Practices",Advisory Activities,2012-08-16,2012-08-18,175466,57904,187300
EMEA,Retail Banking,z-LE-217,Under Review,External Fraud,Systems Security,2012-08-21,2012-08-22,227259,45452,227800
North America,Asset Management,z-LE-218,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2012-08-22,2012-08-23,438956,153635,451400
North America,Retail Banking,z-LE-219,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-08-24,2012-08-27,162880,32576,169300
Asia Pac,Retail Banking,z-LE-220,Rejected,External Fraud,Theft and Fraud,2012-08-25,2012-08-28,170362,45998,172100
North America,Retail Brokerage,z-LE-221,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2012-08-25,2012-08-28,56171,15728,54500
EMEA,Retail Banking,z-LE-222,Under Review,Employment Practices and Workplace Safety,Safe Environment,2012-08-27,2012-08-29,132615,46415,137700
North America,Retail Banking,z-LE-223,Approved,External Fraud,Theft and Fraud,2012-09-02,2012-09-03,124445,26133,136100
North America,Retail Banking,z-LE-360,Not Started,"Clients, Products and Business Practices",Advisory Activities,2012-09-04,2012-09-07,266501,82615,270000
EMEA,Retail Banking,z-LE-224,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-09-07,2012-09-08,265000,58300,278000
EMEA,Retail Banking,z-LE-225,In Progress,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2012-09-08,2012-09-09,207281,74621,208900
EMEA,Agency Services,z-LE-226,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2012-09-08,2012-09-10,5425,1627,12700
EMEA,Retail Banking,z-LE-362,In Progress,External Fraud,Theft and Fraud,2012-09-08,2012-09-11,259392,64848,259100
EMEA,Retail Banking,z-LE-227,Approved,External Fraud,Theft and Fraud,2012-09-10,2012-09-13,22192,7767,27400
North America,Retail Banking,z-LE-228,Not Started,External Fraud,Systems Security,2012-09-15,2012-09-18,205846,53520,205600
EMEA,Retail Banking,z-LE-229,Not Started,External Fraud,Theft and Fraud,2012-09-19,2012-09-20,175034,56011,185500
North America,Retail Banking,z-LE-230,In Progress,External Fraud,Theft and Fraud,2012-10-01,2012-10-04,188697,56609,202400
Asia Pac,Retail Banking,z-LE-232,Approved,Damage to Physical Assets,Disaster and other events,2012-10-03,2012-10-06,108862,41368,114600
EMEA,Retail Banking,z-LE-231,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2012-10-04,2012-10-05,111399,31192,116100
North America,Asset Management,z-LE-233,Not Started,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2012-10-06,2012-10-08,729584,291833,743200
North America,Retail Banking,z-LE-234,In Progress,External Fraud,Theft and Fraud,2012-10-08,2012-10-09,79118,22944,77200
North America,Retail Banking,z-LE-235,Under Review,Internal Fraud,Theft and Fraud,2012-10-09,2012-10-10,157817,45767,160600
Asia Pac,Retail Brokerage,z-LE-236,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-10-11,2012-10-13,439299,149362,445600
North America,Retail Banking,z-LE-237,Not Started,External Fraud,Systems Security,2012-10-11,2012-10-14,262702,81437,261700
Asia Pac,Retail Banking,z-LE-240,Rejected,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-10-16,2012-10-19,271661,97798,267500
EMEA,Commercial Banking,z-LE-239,Under Review,External Fraud,Theft and Fraud,2012-10-16,2012-10-19,816935,294097,815600
EMEA,Retail Banking,z-LE-238,Not Started,External Fraud,Theft and Fraud,2012-10-17,2012-10-18,7292,2625,4400
EMEA,Retail Banking,z-LE-241,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-10-19,2012-10-22,107577,39803,102900
Asia Pac,Retail Banking,z-LE-105,Rejected,External Fraud,Theft and Fraud,2012-10-20,2012-10-23,256693,69307,269200
Asia Pac,Commercial Banking,z-LE-242,Rejected,"Execution, Delivery and Process Management",Trade Counterparties,2012-10-21,2012-10-24,603143,168880,609100
North America,Commercial Banking,z-LE-243,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-10-24,2012-10-26,921109,267122,919000
Asia Pac,Retail Banking,z-LE-244,Under Review,"Execution, Delivery and Process Management",Vendors and Suppliers,2012-10-27,2012-10-30,37942,2277,44400
Asia Pac,Retail Banking,z-LE-245,Approved,External Fraud,Theft and Fraud,2012-11-02,2012-11-05,94213,24495,89500
Asia Pac,Retail Banking,z-LE-246,Rejected,Employment Practices and Workplace Safety,Employee Relations,2012-11-03,2012-11-05,60901,23751,76300
Asia Pac,Trading and Sales,z-LE-247,In Progress,"Execution, Delivery and Process Management",Customer/Client Account Management,2012-11-07,2012-11-09,510327,199028,512700
Asia Pac,Retail Banking,z-LE-248,Under Review,Internal Fraud,Unauthorized Activity,2012-11-07,2012-11-09,188232,69646,196900
North America,Commercial Banking,z-LE-249,Approved,"Execution, Delivery and Process Management",Transaction/Data Management,2012-11-07,2012-11-09,168245,52156,166300
North America,Commercial Banking,z-LE-250,Not Started,External Fraud,Systems Security,2012-11-10,2012-11-13,66790,22709,78900
EMEA,Retail Banking,z-LE-251,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-11-15,2012-11-18,237117,61650,242400
EMEA,Retail Banking,z-LE-252,In Progress,External Fraud,Theft and Fraud,2012-11-18,2012-11-20,246022,95949,263200
Asia Pac,Asset Management,z-LE-253,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2012-11-21,2012-11-22,610837,171034,617100
Asia Pac,Retail Banking,z-LE-256,In Progress,External Fraud,Systems Security,2012-11-21,2012-11-24,261244,62699,255300
Asia Pac,Retail Banking,z-LE-254,Approved,External Fraud,Theft and Fraud,2012-11-23,2012-11-24,211652,44447,215800
North America,Retail Banking,z-LE-255,Not Started,External Fraud,Theft and Fraud,2012-11-23,2012-11-24,126820,34241,138100
Asia Pac,Retail Banking,z-LE-258,Approved,External Fraud,Theft and Fraud,2012-11-24,2012-11-26,189149,39721,189400
North America,Retail Banking,z-LE-257,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-11-24,2012-11-25,214771,83761,205500
EMEA,Retail Banking,z-LE-259,Not Started,Internal Fraud,Theft and Fraud,2012-11-29,2012-12-01,102593,20519,116700
North America,Retail Banking,z-LE-261,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2012-11-29,2012-12-02,246835,98734,255700
EMEA,Retail Brokerage,z-LE-263,Under Review,"Clients, Products and Business Practices",Improper Business or Market Practices,2012-11-30,2012-12-03,48842,13676,62800
North America,Retail Banking,z-LE-260,Not Started,Employment Practices and Workplace Safety,Safe Environment,2012-11-30,2012-12-01,238099,69049,236400
EMEA,Retail Banking,z-LE-262,Not Started,Employment Practices and Workplace Safety,Employee Relations,2012-12-01,2012-12-02,225290,78851,233800
North America,Retail Brokerage,z-LE-264,Rejected,Employment Practices and Workplace Safety,Safe Environment,2012-12-02,2012-12-05,59813,12561,65900
Asia Pac,Retail Banking,z-LE-265,In Progress,Employment Practices and Workplace Safety,Safe Environment,2012-12-03,2012-12-05,235573,51826,238000
North America,Retail Banking,z-LE-266,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2012-12-03,2012-12-06,12810,3971,22600
North America,Retail Banking,z-LE-267,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-12-06,2012-12-07,131323,40710,134800
EMEA,Retail Banking,z-LE-268,Not Started,External Fraud,Theft and Fraud,2012-12-07,2012-12-10,204135,79613,218400
North America,Retail Banking,z-LE-269,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2012-12-14,2012-12-16,84576,26218,98800
North America,Retail Banking,z-LE-270,Under Review,External Fraud,Theft and Fraud,2012-12-20,2012-12-22,214764,42953,228200
Asia Pac,Commercial Banking,z-LE-272,Not Started,External Fraud,Theft and Fraud,2012-12-22,2012-12-25,800061,232018,795700
North America,Commercial Banking,z-LE-271,Approved,External Fraud,Systems Security,2012-12-23,2012-12-25,606149,200029,614900
North America,Retail Banking,z-LE-273,Not Started,External Fraud,Theft and Fraud,2012-12-28,2012-12-29,214501,55770,212800
EMEA,Retail Banking,z-LE-274,In Progress,"Execution, Delivery and Process Management",Customer Intake and Documentation,2012-12-30,2013-01-02,223615,49195,223300
EMEA,Retail Brokerage,z-LE-275,Under Review,"Clients, Products and Business Practices",Product Flaws,2013-01-01,2013-01-02,296555,80070,291100
EMEA,Retail Banking,z-LE-01,In Progress,External Fraud,Systems Security,2013-01-03,2013-01-04,168487,62340,170500
North America,Retail Banking,z-LE-02,Under Review,Damage to Physical Assets,Disaster and other events,2013-01-03,2013-01-04,259281,72599,260600
North America,Trading and Sales,z-LE-03,Approved,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-01-03,2013-01-05,866066,199195,862800
North America,Retail Banking,z-LE-276,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2013-01-03,2013-01-05,87472,30615,98400
Asia Pac,Retail Brokerage,z-LE-277,Not Started,"Clients, Products and Business Practices",Advisory Activities,2013-01-04,2013-01-06,229395,75700,230700
North America,Retail Banking,z-LE-400,Not Started,"Clients, Products and Business Practices",Product Flaws,2013-01-04,2013-01-05,125241,46339,120900
North America,Retail Banking,z-LE-401,In Progress,Employment Practices and Workplace Safety,Safe Environment,2013-01-05,2013-01-06,203647,52948,201000
EMEA,Commercial Banking,z-LE-05,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2013-01-06,2013-01-08,192524,53907,194000
North America,Retail Banking,z-LE-04,Not Started,External Fraud,Theft and Fraud,2013-01-06,2013-01-07,177868,65811,189500
North America,Commercial Banking,LE-06-016,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-01-07,2013-01-04,10200000,2652000,10200000
North America,Commercial Banking,LE-06-017,Not Started,External Fraud,Theft and Fraud,2013-01-07,2013-01-04,3500000,1260000,3500000
North America,Retail Banking,z-LE-402,Under Review,External Fraud,Theft and Fraud,2013-01-07,2013-01-10,68045,21774,85700
Asia Pac,Trading and Sales,z-LE-403,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-01-08,2013-01-11,846942,338777,854800
Asia Pac,Retail Brokerage,z-LE-404,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-01-08,2013-01-11,123392,29614,127500
EMEA,Retail Banking,z-LE-278,In Progress,"Clients, Products and Business Practices",Product Flaws,2013-01-08,2013-01-11,137925,38619,137400
North America,Trading and Sales,z-LE-279,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-01-12,2013-01-14,292160,67197,288300
North America,Commercial Banking,z-LE-06,Under Review,External Fraud,Theft and Fraud,2013-01-13,2013-01-15,865971,320409,870200
North America,Retail Banking,z-LE-405,Not Started,External Fraud,Systems Security,2013-01-14,2013-01-17,243129,63214,241800
North America,Retail Brokerage,z-LE-280,Approved,"Clients, Products and Business Practices",Advisory Activities,2013-01-16,2013-01-19,321308,112458,321700
North America,Commercial Banking,z-LE-07,Approved,"Clients, Products and Business Practices",Product Flaws,2013-01-18,2013-01-19,123161,29559,117500
North America,Retail Banking,z-LE-08,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-01-18,2013-01-19,140055,32213,145800
North America,Retail Banking,z-LE-281,Not Started,External Fraud,Theft and Fraud,2013-01-19,2013-01-22,255902,87007,257500
Asia Pac,Retail Brokerage,z-LE-408,Approved,Employment Practices and Workplace Safety,Diversity and Discrimination,2013-01-20,2013-01-23,14146,4951,22100
North America,Retail Banking,z-LE-406,In Progress,External Fraud,Theft and Fraud,2013-01-20,2013-01-22,182053,40052,191500
North America,Trading and Sales,z-LE-282,Not Started,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2013-01-21,2013-01-23,543622,190268,546600
Asia Pac,Retail Banking,z-LE-407,Rejected,"Execution, Delivery and Process Management",Trade Counterparties,2013-01-22,2013-01-23,13702,3152,18900
North America,Retail Banking,z-LE-409,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-01-22,2013-01-24,25835,10334,26500
Asia Pac,Retail Banking,z-LE-410,In Progress,External Fraud,Theft and Fraud,2013-01-23,2013-01-24,217862,58823,224800
North America,Retail Banking,z-LE-411,Under Review,External Fraud,Theft and Fraud,2013-01-23,2013-01-25,218231,82928,225100
North America,Trading and Sales,z-LE-412,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2013-01-23,2013-01-25,477408,76385,481200
Asia Pac,Retail Banking,z-LE-09,Rejected,Internal Fraud,Unauthorized Activity,2013-01-24,2013-01-27,176447,63521,186900
EMEA,Trading and Sales,z-LE-10,In Progress,"Execution, Delivery and Process Management",Vendors and Suppliers,2013-01-27,2013-01-28,224771,56193,231200
North America,Asset Management,z-LE-11,Under Review,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-01-27,2013-01-30,172251,44785,181000
Asia Pac,Commercial Banking,z-LE-413,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-01-28,2013-01-29,391761,101858,402200
Asia Pac,Retail Banking,z-LE-283,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2013-01-29,2013-01-30,191051,49673,197000
North America,Retail Banking,z-LE-12,Approved,Employment Practices and Workplace Safety,Safe Environment,2013-01-29,2013-02-01,-2942,-706,8300
North America,Retail Banking,z-LE-284,Not Started,External Fraud,Systems Security,2013-01-30,2013-01-31,3028.96,908.69,3000
EMEA,Retail Banking,z-LE-414,Not Started,External Fraud,Systems Security,2013-01-31,2013-02-01,173393.94,60687.88,175800
North America,Retail Banking,z-LE-285,Under Review,External Fraud,Theft and Fraud,2013-01-31,2013-02-01,143950.45,57580.18,142300
North America,Commercial Banking,z-LE-415,Under Review,External Fraud,Theft and Fraud,2013-01-31,2013-02-03,334465.32,110373.56,344700
Asia Pac,Retail Banking,z-LE-416,Not Started,External Fraud,Theft and Fraud,2013-02-01,2013-02-04,278541.2,86347.77,275300
EMEA,Retail Banking,z-LE-13,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2013-02-03,2013-02-06,251287.31,100514.92,260500
EMEA,Retail Banking,z-LE-417,Under Review,External Fraud,Theft and Fraud,2013-02-04,2013-02-05,50897.65,15269.3,65600
North America,Retail Banking,LE-06-002,Not Started,External Fraud,Theft and Fraud,2013-02-07,2013-02-04,425000,131750,500000
North America,Retail Brokerage,LE-06-014,Not Started,Employment Practices and Workplace Safety,Diversity and Discrimination,2013-02-07,2011-02-04,250000,50000,300000
Asia Pac,Retail Banking,z-LE-14,Rejected,External Fraud,Theft and Fraud,2013-02-08,2013-02-10,66141.29,15873.91,70500
North America,Retail Banking,z-LE-286,Rejected,Business Disruption and System Failures,Infrastructure and Systems,2013-02-08,2013-02-11,50246.97,14069.15,60200
EMEA,Retail Banking,z-LE-287,In Progress,External Fraud,Theft and Fraud,2013-02-10,2013-02-11,22925.54,7794.68,27000
North America,Commercial Banking,z-LE-418,Rejected,"Execution, Delivery and Process Management",Transaction/Data Management,2013-02-10,2013-02-11,623801.99,224568.72,626900
Asia Pac,Retail Banking,z-LE-420,Rejected,External Fraud,Systems Security,2013-02-12,2013-02-15,125226.11,48838.18,130100
EMEA,Retail Banking,z-LE-15,Under Review,External Fraud,Systems Security,2013-02-12,2013-02-14,22203.87,4662.81,26800
North America,Trading and Sales,z-LE-419,In Progress,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-02-12,2013-02-14,306695.06,85874.62,314500
North America,Trading and Sales,z-LE-16,Approved,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-02-13,2013-02-16,6642.61,1461.37,19300
EMEA,Retail Banking,z-LE-421,Approved,Employment Practices and Workplace Safety,Employee Relations,2013-02-14,2013-02-16,19785.1,7914.04,28300
North America,Retail Banking,z-LE-289,Approved,External Fraud,Theft and Fraud,2013-02-14,2013-02-16,253467.82,63366.96,247700
North America,Retail Brokerage,z-LE-288,Under Review,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2013-02-15,2013-02-16,433730.21,169154.78,436200
EMEA,Retail Banking,z-LE-17,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2013-02-16,2013-02-19,88304.33,19426.95,95500
North America,Commercial Banking,z-LE-290,Not Started,External Fraud,Systems Security,2013-02-16,2013-02-17,190185.19,60859.26,190400
EMEA,Retail Banking,z-LE-291,In Progress,External Fraud,Theft and Fraud,2013-02-17,2013-02-18,12122.6,4606.59,24700
Asia Pac,Trading and Sales,z-LE-422,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2013-02-18,2013-02-20,1000493.95,330163,1008300
EMEA,Retail Banking,z-LE-293,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2013-02-18,2013-02-21,36183.73,6151.23,42800
North America,Retail Banking,z-LE-292,Under Review,Employment Practices and Workplace Safety,Employee Relations,2013-02-18,2013-02-19,228424.87,75380.21,238300
Asia Pac,Trading and Sales,z-LE-424,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-02-21,2013-02-23,555900.58,144534.15,555700
North America,Retail Banking,z-LE-423,In Progress,External Fraud,Theft and Fraud,2013-02-21,2013-02-22,155296.86,43483.12,165900
EMEA,Retail Banking,z-LE-425,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2013-02-22,2013-02-25,110271.63,24259.76,120300
North America,Commercial Banking,z-LE-295,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2013-02-23,2013-02-26,600346.33,150086.58,610400
North America,Retail Banking,z-LE-426,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-02-24,2013-02-26,172337.59,39637.65,172300
Asia Pac,Commercial Banking,z-LE-294,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-02-25,2013-02-26,142392.62,39869.93,149000
EMEA,Retail Banking,z-LE-18,Not Started,"Clients, Products and Business Practices",Advisory Activities,2013-02-25,2013-02-28,206895.16,82758.06,215600
North America,Trading and Sales,z-LE-19,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-02-25,2013-02-28,38900.77,11670.23,48300
North America,Retail Banking,z-LE-296,In Progress,External Fraud,Theft and Fraud,2013-02-25,2013-02-27,4868.33,1801.28,3800
EMEA,Commercial Banking,z-LE-427,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-02-27,2013-03-01,801238.26,200309.57,798100
North America,Retail Banking,z-LE-297,Under Review,External Fraud,Theft and Fraud,2013-02-27,2013-03-01,187961.18,56388.35,186500
Asia Pac,Retail Banking,z-LE-20,Not Started,Business Disruption and System Failures,Infrastructure and Systems,2013-02-28,2013-03-01,24884.77,7714.28,31900
